[,   2,   2,   2, 7df,78df,4a57,  25,  12, 4e0,2b30,265e,18eb
[,   c,   6,   0,88cc,3b26,8657,  24,  13, 4d9,e104,d71f,a3ae
[,   7,ffff,fffd,65cf,1c64, 6e5,  25,  10, 4cf,e3b5,33dc,e30f
[,   2,   6,   0,130f,51a7,f591,  23,  10, 4d2,d590,5fc6,6986
[,   b,   1,   9,6de0,2c80,63f7,  22,   f, 4d5, 790,d75b,8c0a
[,fffc,   b,fff4,d8b5,63ea,4eec,  24,  10, 4db,60e5,5b07,22f3
[,   5,  10,   b,bbec,4830,b60e,  24,   d, 4db,cc8b,1787,8eef
], 50068,   b,   1,   3,6980,9260,a47a,  22,  10, 4e0,8ee8,f203,e96a, 70c
[,   6,   e,fff6,ba8b,46dc,fc15,  24,  11, 4dd,7b00,325d,32ce
[,   5,   0,fff9,3d9f,560f,1c7e,  22,  10, 4de,53f8,eacd,26b3
[,fff9,   2,   8,d8f9,988f,3595,  23,  12, 4e0,29e9,9303, 895
[,   3,fff9,fff2,1c8d,42e7,1659,  21,  10, 4dd,2917,f335,232d
[,   a,ffff,fff7,6c7f,9a15,1dfb,  24,  10, 4de,823b,291d,1775
[,ffff,fff8,   3,200a,b1d4,ee19,  24,  12, 4de,4722,c31f,ad2f
[,   5,   a,fff5,f1b7,1018,585b,  25,  12, 4e0,8965,8699,c074
[,   4,fffc,fff5,f746,18f5,f860,  21,  16, 4db,c85d,47dd, 6fc
[,   4,   4,fff2,313b,d57d,1fba,  23,  12, 4d9,b9f5,3dd8,b63c
], 49960,   7,fffd,fffd,641e,6943,5cdf,  25,   f, 4dc,5a59,8525,407b, 70e
[,   9,   8,   7,315d,ff12,c2a9,  23,   f, 4dd,b691,de61,5131
[,   b,fffa,   5,bc5c,f13d,8604,  23,  12, 4d8,e443,6484,97c7
[,   a,fff8,fffe,821e,7602,aa9e,  26,   e, 4db,b6c2,f710,f22c
[,   d,   1,   9,6e2c,100a,6f44,  25,   f, 4de,65d8,7395,f1d1
[,ffff,   a,   0,8497,77a7,93fb,  27,  11, 4da,14c3,53c7,e723
[,   b,   1,fff5,724a,8f9f,ef8d,  27,  15, 4d9,8167,360d,205d
[,ffff,fff9,ffff,5c9f,989f,1c68,  26,  11, 4d8,aba9,bc39,e061
[,  11,   1,fffe,64c5,14e7,a6e5,  28,   f, 4e3,56b4,f601,5e8a
[,   3,fff6,fffd,950a,cd46,e361,  24,  14, 4e2,d8f1,1bd9,b014
], 49968,   7,fffd,   f,fdd6,a767,25af,  27,  11, 4e0,4dfb,1b09,7751, 70b
[,   8,   5,   6,1cd0,a0cc,5089,  27,  10, 4da,fa95,1bf0,b532
[,   b,fffc,ffff,4283,32ab,4246,  26,  11, 4dc,6f1f,a168,4424
[,fff8,  11,   1, 98b,6938,44ae,  28,  10, 4d7,11c8,bbfd,d053
[,   9,   8,ffff,b385,62b3,baf4,  26,  14, 4da,364a,778e,2552
[,   6,fff9,fff4,e87d,6eb5,f4aa,  28,  11, 4dc,c351,ef03,ad89
[,   c,   0,fffa,cc8c,b6e7,1702,  21,   f, 4db,4155,4560,4eb6
[,   0,   7,   4,8847,5f67,4e68,  25,  11, 4d9,d03b,bd9f,9d4e
[,   1,fff9,   4, 411,b4cd,6c1f,  28,   f, 4d7,21eb,a935,fd0b
[,fff9,fff1,ffed,c888,7b38,4b54,  28,  12, 4dd,d7e5,ba43,5d0c
], 50024,   3,fff2,fffd,e029,e540, 1d8,  25,  11, 4dc,15cc,1736,7e86, 70d
[,   9,   4,   8,3f12, 96d, 8e5,  23,   f, 4de,783e,d3e1,190e
[,   b,   2,fffc,c349,cde7,f2a8,  24,  12, 4dd,f7bd,c549,50ba
[,   c,   a,   0,45d3,9266,d370,  28,  12, 4dc,3b75,a6be,1a47
[,  10,   8,ffef,4668,1223,98f7,  25,  11, 4df,c82b,c1ec,47c1
[,   d,fffd,ffef,5963, 8c7,4f72,  22,  11, 4dc,74ce,cba6,292e
[,ffff,fffb,fffd,1b83,258f,893a,  27,  14, 4de,431d,4621, e65
[,fffa,   8,fff9,1b74,e6c8, c88,  21,   f, 4e0,a670,442b,5626
[,   4,ffff,fffd,5f11,5678,dcce,  25,  10, 4df, bfd,69cd,5bfe
[,   1,fff7,fffb,9bd4,276b,3226,  23,  13, 4db,8d76,4424,d1a6
], 49983,   f,ffff,   2,2914,aa0c,9ad5,  25,  13, 4dc,96a4,7d6f, 2c5, 70d
[,   4,   b,fffe,abb0,95bc,6f37,  27,  16, 4d9,1ab4,22ca,9c8e
[,   7,fff4,   c, 9d4,b99e,ba25,  23,  14, 4d9,e4c8,c5c1,e089
[,   3,fff2,   0,be49,d1a3,b7be,  24,  10, 4da,ac8e,2155, da0
[,   3,fffc,fff2,3257,ad4f,2eaa,  23,  11, 4d9,c53b,52c0,f590
[,   5,   a,   8, ad5,2595,6fb1,  23,  14, 4d9,2fb1,8340,7898
[,   d,   1,fffe,532f,bf92,101f,  22,  12, 4da,9550,f551,cd03
[,   a,   6,fff7,7a04,a830,928a,  23,  17, 4db,bcef,490c,1bc7
[,   3,   0,fffe,8f23,c0ea,7132,  25,  12, 4de,9453,2c08,362f
[,   c,   2,fffa,4c50,a039, 3ec,  25,  15, 4de,7617,93dc,a45a
], 49995,   d,   8,   1,8b2c,f17c,fad9,  23,  12, 4e0,8915,77ca,a5cc, 70c
[,   3,   0,fffb,a10c,abe2,4f3a,  25,  12, 4dd,c3df,28a2,bc3a
[,   7,   1,   5,e96c,586c,e2c8,  24,   e, 4de,3ab4,e2e4,761e
[,   9,fff2,fff9,41da,e31a,b54b,  24,  12, 4dd,4133,f390,6516
[,   5,   3,fffa,e7a6,54d8,f5dc,  23,  11, 4da,6a82,8edc,2f8c
[,   2,   0,fffb,3544,7409,3e84,  23,  11, 4db,1b63,a187,cbb6
[,   7,fff4,fff8,ae9d,beaa,da13,  27,  11, 4da, 5df, 225,f085
